a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.9500000000000001,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.0,1.0,0.0,0.0,0.9979568831276737,0.9999999992845497,58978.329343929,58978.329343929,0.0,0.0,0.0
0.05,0.0,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.05,0.05,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.05,0.1,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.05,0.15000000000000002,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.2,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.25,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.30000000000000004,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.35000000000000003,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.4,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.45,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.5,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.55,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.6000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.65,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.7000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.75,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.8,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.05,0.8500000000000001,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.05,0.9,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.05,0.9500000000000001,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.1,0.0,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.1,0.05,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.1,0.1,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.1,0.15000000000000002,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.2,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.25,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.30000000000000004,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.35000000000000003,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.4,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.45,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.5,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.55,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.6000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.65,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.7000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.75,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.8,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.1,0.8500000000000001,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.1,0.9,0.32,0.96,0.8245794645114931,0.4902412419645894,18622.982119221237,18075.782119221236,547.2,1987200.0,39.744
0.15000000000000002,0.0,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.15000000000000002,0.05,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
